['m.0k8z', 'business.acquisition.acquiring_company', 'business.acquisition.company_acquired', 'm.01rtbw']
['m.0k8z', 'business.acquisition.acquiring_company', 'business.acquisition.company_acquired', 'm.03dzs02']
['m.0k8z', 'business.business_operation.assets.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.current_assets.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.current_liabilities.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.industry.1', 'business.business_operation.industry.2', 'm.019z7b']
['m.0k8z', 'business.business_operation.industry.1', 'business.business_operation.industry.2', 'm.01mf0']
['m.0k8z', 'business.business_operation.industry.1', 'business.business_operation.industry.2', 'm.01mfj']
['m.0k8z', 'business.business_operation.industry.1', 'business.business_operation.industry.2', 'm.03qb3f1']
['m.0k8z', 'business.business_operation.industry.1', 'business.business_operation.industry.2', 'm.07c1v']
['m.0k8z', 'business.business_operation.liabilities.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.net_profit.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.operating_income.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.retained_earnings.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.business_operation.revenue.inverse', 'measurement_unit.dated_money_value.currency', 'm.09nqf']
['m.0k8z', 'business.company_brand_relationship.company', 'business.company_brand_relationship.brand', 'm.0j_5dr_']
['m.0k8z', 'business.company_brand_relationship.company', 'business.company_brand_relationship.brand', 'm.0mcx2']
['m.0k8z', 'business.company_brand_relationship.company', 'business.company_brand_relationship.brand', 'm.0zd6']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.027lnzs']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.03hpd5x']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.04yg_s']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.068tk']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.07t99m']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0gz0jd']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0kmc']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0m5m8']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0mbxw']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0mcx2']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0wxp']
['m.0k8z', 'business.company_product_line_relationship.company', 'business.company_product_line_relationship.product_line', 'm.0zd6']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.02p3xw8']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.02q23j4']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.02z6z4v']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.03hl5pv']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.04yg_s']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.04ygwp']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.05kd9b0']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.05px7xp']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.05px86k']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.066858v']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.08055kq']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.09rvlp4']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.09yc4yn']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0b_wnn']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0c0bg9c']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0cc8kq4']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0cnyyg3']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0dbpfb']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0f4_6']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0gg4gh4']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0ggbcny']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0j30q9x']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0jpgv']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0k706']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0n3s_98']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0nb7vg2']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0q4l2']
['m.0k8z', 'business.company_product_relationship.company', 'business.company_product_relationship.consumer_product', 'm.0sjms']
['m.0k8z', 'business.competitive_space_mediator.company', 'business.competitive_space_mediator.brand', 'm.027lnzs']
['m.0k8z', 'business.competitive_space_mediator.company', 'business.competitive_space_mediator.space', 'm.0169zh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.011xmf']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.014jjj']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0190r3']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0199cb']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.01bng']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.01fqmx']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.01g4wh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.01k05j']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.01p5q2']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.01rvfd']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.022pvs0']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.022s0d']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0232w74']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_3qs']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_46d0']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_5njz']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.025yklv']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.026nytt']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.026nzp']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.026w6ww']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_6y_y']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_6z1d']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_7cgc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_7cly']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.027rth_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0281sx7']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0284zk2']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_8sgs']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_8vcg']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02bccg']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02cw6w']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02f2m7']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_fdfv']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_fdgr']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_fdhc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02h67bm']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02hqpz6']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02hskp_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02kb3t4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02q1xr4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02qzm8b']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02r8bh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_rd1q']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02tbkm_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02tc2vc']
